UNIT,CHIPLET,RELEASED_WA_PATH,RTL_TAG,RELEASE_TYPES,RELEASE_USER,RELEASE_TIMESTAMP
fwam,NDQ,/home/scratch.zbirman_vlsi/agur/fwam/run_19_10_2025__fwam_rbv_2025_09_07_GOLDEN_no_xcap_NDR,"fwam_rbv_2025_09_07_agur_condb_int3_2025_08_27_0_1NL_snap","STA",zbirman,2025/11/09 11:29:44,/home/agur_backend_blockRelease/block/fwam/run_19_10_2025__fwam_rbv_2025_09_07_GOLDEN_no_xcap_NDR__2025_11_9_11_29_44
fwas,NDQ,/home/scratch.rmenasheof_vlsi/agur/fwas/fwas_golden_ipo4_21_9_for_vivid,"fwas_rbv_2025_09_07_agur_condb_int3_2025_08_27_0_1NL_snap","STA",rmenasheof,2025/11/16 13:55:47,/home/agur_backend_blockRelease/block/fwas/fwas_golden_ipo4_21_9_for_vivid__2025_11_16_13_55_47
glc,NDQ,/home/scratch.ynaim_vlsi_1/agur/1NL/glc/glc.glc_rbv_2025_09_07_agur_condb_int3_2025_08_27_0_1NL_snap_bound_vivid,"glc_rbv_2025_09_07_agur_condb_int3_2025_08_27_0_1NL_snap","STA",ynaim,2025/11/16 21:07:59,/home/agur_backend_blockRelease/block/glc/glc.glc_rbv_2025_09_07_agur_condb_int3_2025_08_27_0_1NL_snap_bound_vivid__2025_11_16_21_7_59
iopl,NDQ,/home/scratch.yshlush_vlsi/iopl/iopl_condb_int1_52_2r1/export/export_icc2,"export_icc2","STA,FCL",yshlush,2025/07/27 10:38:26,/home/agur_backend_blockRelease/block/iopl/iopl_condb_int1_52_2r1__2025_7_27_10_38_26
ioplm,NDQ,/home/sunbird_netaa/ioplm/starling_ioplm_2024_10_30,"starling_ioplm_2024_10_30","STA",netaa,2024/11/14 11:05:29,/home/agur_backend_blockRelease/block/ioplm/starling_ioplm_2024_10_30__2024_11_14_11_5_29
iopx,NDQ,/home/sunbird_vmoshkovich/iopx/starling_iopx_2024_11_06,"starling_iopx_2024_11_06","STA,FCL",vmoshkovich,2025/03/05 13:10:45,/home/agur_backend_blockRelease/block/iopx/starling_iopx_2024_11_06__2025_3_5_13_10_45
ir,NDQ,/home/scratch.thadad_vlsi/agur/1NL/ir/ir_rbv_2025_10_19_agur_issu128_util/pnr_flow/nv_flow/ir/ipo1002/nbu_signoff,"ir_rbv_2025_10_19_agur_issu128","STA",thadad,2025/11/13 17:55:52,/home/agur_backend_blockRelease/block/ir/nbu_signoff_ir_rbv_2025_10_19_agur_issu128_util_ipo1002_2025_11_13_17_55_52
lndm,NDQ,/home/scratch.shlomoc_vlsi/agur/lndm/run_07_09_2025_lndm_rbv_2025_09_01_new_flow,"lndm_rbv_2025_09_01_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",shlomoc,2025/11/16 16:06:13,/home/agur_backend_blockRelease/block/lndm/run_07_09_2025_lndm_rbv_2025_09_01_new_flow__2025_11_16_16_6_13
nvrisc,NDQ,/home/scratch.ykatzav_vlsi/agur/nvrisc/nvrisc_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_run2_PI/pnr_flow/nv_flow/nvrisc/ipo1020/nbu_signoff,"nvrisc_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",ykatzav,2025/11/09 09:28:57,/home/agur_backend_blockRelease/block/nvrisc/nbu_signoff_nvrisc_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_run2_PI_ipo1020_2025_11_9_9_28_57
pmuxm,NDQ,/home/scratch.zbirman_vlsi/agur/pmuxm/run_15_10_pmuxm_rbv_2025_10_08_sram_size_80k_sram_resize_incremental,"pmuxm_rbv_2025_10_08_agur_sram_size_80k","STA",zbirman,2025/11/09 11:27:36,/home/agur_backend_blockRelease/block/pmuxm/run_15_10_pmuxm_rbv_2025_10_08_sram_size_80k_sram_resize_incremental__2025_11_9_11_27_36
prtm,NDQ,/home/scratch.lmustafa_vlsi/agur/prtm/prtm_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap_r1_fifthtry,"prtm_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap_r1","STA,FCL,PNR",lmustafa,2025/11/06 15:11:14,/home/agur_backend_blockRelease/block/prtm/prtm_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap_r1_fifthtry__2025_11_6_15_11_14
psca,NDQ,/home/scratch.nkahaz_vlsi/ww38_5_fixes/psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap_ref/pnr_flow/nv_flow/psca/ipo1050/nbu_signoff,"psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap","STA",nkahaz,2025/11/16 10:17:46,/home/agur_backend_blockRelease/block/psca/nbu_signoff_psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap_ref_ipo1050_2025_11_16_10_17_46
pscb,NDQ,/home/scratch.nkahaz_vlsi/ww38_5_fixes/pscb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_ref/pnr_flow/nv_flow/pscb/ipo1048/nbu_signoff,"pscb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA",nkahaz,2025/11/06 11:18:37,/home/agur_backend_blockRelease/block/pscb/nbu_signoff_pscb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_ref_ipo1048_2025_11_6_11_18_37
pscc,NDQ,/home/scratch.dtraitelovic_vlsi/agur/pscc/pscc_2025_09_02_1NL_snap_new_flow_flp_cdc/pnr_flow/nv_flow/pscc/ipo1007/nbu_signoff,"pscc_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA",dtraitelovic,2025/11/07 06:59:08,/home/agur_backend_blockRelease/block/pscc/nbu_signoff_pscc_2025_09_02_1NL_snap_new_flow_flp_cdc_ipo1007_2025_11_7_6_59_8
pscd,NDQ,/home/scratch.gibell_vlsi/agur/1nl/pscd/pscd_rbv_2025_09_02_ver4_Sep25_gb,"pscd_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA",gibell,2025/11/16 10:19:33,/home/agur_backend_blockRelease/block/pscd/pscd_rbv_2025_09_02_ver4_Sep25_gb__2025_11_16_10_19_33
px,NDQ,/home/scratch.aamsalem_vlsi/agur/px/1NL/run_9_9_old_util65/px_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_old_util65,"px_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA",aamsalem,2025/11/16 10:48:39,/home/agur_backend_blockRelease/block/px/px_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_old_util65__2025_11_16_10_48_39
